Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,2404,species,White-winged Dove,Zenaida asiatica,2,West Campus,US-TX,23 Jun 2023,L25429501,S142511792,,1
2,20899,species,Blue Jay,Cyanocitta cristata,2,West Campus,US-TX,23 Jun 2023,L25429501,S142511792,,1
3,33338,species,Great-tailed Grackle,Quiscalus mexicanus,3,West Campus,US-TX,23 Jun 2023,L25429501,S142511792,,1
4,7620,species,Black Vulture,Coragyps atratus,1,West Campus,US-TX,24 Jun 2023,L25429501,S142584778,,1
5,27652,species,Northern Mockingbird,Mimus polyglottos,10,West Campus,US-TX,24 Jun 2023,L25429501,S142584778,,1
6,31018,species,House Sparrow,Passer domesticus,2,West Campus,US-TX,24 Jun 2023,L25429501,S142584778,N,1
7,33327,species,Common Grackle,Quiscalus quiscula,3,West Campus,US-TX,24 Jun 2023,L25429501,S142584778,,1
8,7469,species,Green Heron,Butorides virescens,1,Shoal Creek Trail,US-TX,27 Jun 2023,L25519782,S142874758,,1
9,7491,species,Great Egret,Ardea alba,1,Shoal Creek Trail,US-TX,27 Jun 2023,L25519782,S142874758,,1
10,16697,species,Eastern Phoebe,Sayornis phoebe,2,Shoal Creek Trail,US-TX,27 Jun 2023,L25519782,S142874758,,1
11,21671,species,Carolina Chickadee,Poecile carolinensis,1,Shoal Creek Trail,US-TX,27 Jun 2023,L25519782,S142874758,,1
12,33967,species,Northern Cardinal,Cardinalis cardinalis,5,Shoal Creek Trail,US-TX,27 Jun 2023,L25519782,S142874758,,1
13,21085,species,Black-billed Magpie,Pica hudsonia,1,Gallatin County Court House,US-MT,29 Jun 2023,L25695637,S143589089,,1
14,2051,species,Eurasian Collared-Dove,Streptopelia decaocto,,Greenough Park,US-MT,29 Jun 2023,L1296837,S143589394,N,1
15,16603,species,Western Wood-Pewee,Contopus sordidulus,1,Greenough Park,US-MT,29 Jun 2023,L1296837,S143589394,,1
16,18910,species,Red-eyed Vireo,Vireo olivaceus,1,Greenough Park,US-MT,29 Jun 2023,L1296837,S143589394,,1
17,21688,species,Mountain Chickadee,Poecile gambeli,,Greenough Park,US-MT,29 Jun 2023,L1296837,S143589394,,1
18,34059,species,Lazuli Bunting,Passerina amoena,1,Greenough Park,US-MT,29 Jun 2023,L1296837,S143589394,,1
19,324,species,Canada Goose,Branta canadensis,14,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
20,515,species,Mallard,Anas platyrhynchos,,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
21,2427,species,Mourning Dove,Zenaida macroura,,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
22,11175,species,Downy Woodpecker,Dryobates pubescens,1,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
23,21168,species,American Crow,Corvus brachyrhynchos,,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
24,33251,species,Red-winged Blackbird,Agelaius phoeniceus,5,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
25,5798,species,Killdeer,Charadrius vociferus,2,Blue Mountain Recreation Area,US-MT,30 Jun 2023,L4588771,S143588176,,1
26,32658,species,White-crowned Sparrow,Zonotrichia leucophrys,1,Blue Mountain Recreation Area,US-MT,30 Jun 2023,L4588771,S143588176,,1
27,32748,species,Song Sparrow,Melospiza melodia,7,Blue Mountain Recreation Area,US-MT,30 Jun 2023,L4588771,S143588176,,1
28,11665,species,Northern Flicker,Colaptes auratus,1,Clark Fork Natural Area,US-MT,30 Jun 2023,L25587442,S143588520,,1
29,21676,species,Black-capped Chickadee,Poecile atricapillus,3,Clark Fork Natural Area,US-MT,30 Jun 2023,L25587442,S143588520,,1
30,23636,species,Bank Swallow,Riparia riparia,,Clark Fork Natural Area,US-MT,30 Jun 2023,L25587442,S143588520,,1
31,27356,species,European Starling,Sturnus vulgaris,5,Clark Fork Natural Area,US-MT,30 Jun 2023,L25587442,S143588520,N,1
32,33307,species,Brown-headed Cowbird,Molothrus ater,1,Clark Fork Natural Area,US-MT,30 Jun 2023,L25587442,S143588520,,1
33,3508,species,Common Nighthawk,Chordeiles minor,2,Blue Mountain Recreation Area,US-MT,30 Jun 2023,L4588771,S143588707,,1
34,33557,species,Yellow Warbler,Setophaga petechia,2,Clark Fork Natural Area,US-MT,01 Jul 2023,L25587442,S143585112,,1
35,1874,species,Rock Pigeon,Columba livia,,Polleys Square,US-MT,01 Jul 2023,L25694284,S143585584,N,1
36,4798,species,Rufous Hummingbird,Selasphorus rufus,1,Polleys Square,US-MT,01 Jul 2023,L25694284,S143585584,,1
37,7640,species,Osprey,Pandion haliaetus,1,Polleys Square,US-MT,01 Jul 2023,L25694284,S143585584,,1
38,29386,species,Cedar Waxwing,Bombycilla cedrorum,3,Polleys Square,US-MT,01 Jul 2023,L25694284,S143585584,,1
39,31790,species,House Finch,Haemorhous mexicanus,2,Polleys Square,US-MT,01 Jul 2023,L25694284,S143585584,,1
40,28096,species,American Robin,Turdus migratorius,,Silver's Lagoon,US-MT,01 Jul 2023,L25694963,S143585837,,1
41,33325,species,Brewer's Blackbird,Euphagus cyanocephalus,,Silver's Lagoon,US-MT,01 Jul 2023,L25694963,S143585837,,1
42,4795,species,Calliope Hummingbird,Selasphorus calliope,1,Greenough Park,US-MT,02 Jul 2023,L1296837,S143584531,,1
43,26471,species,Pygmy Nuthatch,Sitta pygmaea,8,Greenough Park,US-MT,02 Jul 2023,L1296837,S143584531,,1
44,32460,species,Chipping Sparrow,Spizella passerina,2,Greenough Park,US-MT,02 Jul 2023,L1296837,S143584531,,1
45,720,species,Common Merganser,Mergus merganser,3,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
46,7624,species,Turkey Vulture,Cathartes aura,1,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
47,8187,species,Bald Eagle,Haliaeetus leucocephalus,1,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
48,10022,species,Belted Kingfisher,Megaceryle alcyon,2,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
49,10923,species,Lewis's Woodpecker,Melanerpes lewis,1,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
50,11791,species,American Kestrel,Falco sparverius,2,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
51,21235,species,Common Raven,Corvus corax,1,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
52,23649,species,Tree Swallow,Tachycineta bicolor,,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
53,6479,species,Ring-billed Gull,Larus delawarensis,2,Polleys Square,US-MT,02 Jul 2023,L25694284,S143583245,,1
54,23659,species,Violet-green Swallow,Tachycineta thalassina,,Polleys Square,US-MT,02 Jul 2023,L25694284,S143583245,,1
55,32095,species,American Goldfinch,Spinus tristis,1,Polleys Square,US-MT,02 Jul 2023,L25694284,S143583245,,1
